summary_group,value,count
decision,allow,101
decision,deny,397
decision,escalate,502
decision_by_scenario,court_request::allow,9
decision_by_scenario,court_request::deny,11
decision_by_scenario,court_request::escalate,47
decision_by_scenario,cross_jurisdiction_sensitive::deny,23
decision_by_scenario,cross_jurisdiction_sensitive::escalate,108
decision_by_scenario,emergency_override::deny,13
decision_by_scenario,emergency_override::escalate,58
decision_by_scenario,expired_approval_token::deny,71
decision_by_scenario,juvenile_sensitive::deny,15
decision_by_scenario,juvenile_sensitive::escalate,75
decision_by_scenario,normal_in_jurisdiction::allow,91
decision_by_scenario,normal_in_jurisdiction::deny,19
decision_by_scenario,normal_in_jurisdiction::escalate,81
decision_by_scenario,random_context::allow,1
decision_by_scenario,random_context::deny,32
decision_by_scenario,random_context::escalate,69
decision_by_scenario,revoked_credential::deny,83
decision_by_scenario,sealed_record::deny,33
decision_by_scenario,sealed_record::escalate,64
decision_by_scenario,stale_case_assignment::deny,97
primary_reason_code,ALLOW_ROUTINE_CONTEXTUAL_ACCESS,101
primary_reason_code,DENY_APPROVAL_ACTION_WITHOUT_SUPERVISOR_RANK,17
primary_reason_code,DENY_CLASSIFIED_SHARE_WITHOUT_VALID_APPROVAL,2
primary_reason_code,DENY_EXPIRED_APPROVAL_TOKEN,71
primary_reason_code,DENY_INACTIVE_CREDENTIAL,104
primary_reason_code,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT,91
primary_reason_code,DENY_SENSITIVE_UPDATE_WITH_LOW_RANK,9
primary_reason_code,DENY_STALE_CASE_ASSIGNMENT,97
primary_reason_code,DENY_TRAINING_PURPOSE_FOR_SENSITIVE_RECORD,6
primary_reason_code,ESCALATE_CLASSIFIED_RECORD_APPROVAL_REQUIRED,3
primary_reason_code,ESCALATE_CONTEXTUAL_REVIEW_REQUIRED,16
primary_reason_code,ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,100
primary_reason_code,ESCALATE_EMERGENCY_REVIEW_REQUIRED,58
primary_reason_code,ESCALATE_NODE_STATUS_DEGRADED,3
primary_reason_code,ESCALATE_PRIVACY_SENSITIVE_RECORD,252
primary_reason_code,ESCALATE_SEALED_RECORD_REVIEW_REQUIRED,70
required_approval,classified_record_approval,2
required_approval,classified_record_approval|cross_jurisdiction_superior_approval,10
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|manual_node_outage_review|sensitive_record_approval,2
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|sealed_record_superior_review|sensitive_record_approval,12
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|sensitive_record_approval,35
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|sensitive_record_approval|superior_emergency_review,11
required_approval,classified_record_approval|sensitive_record_approval,4
required_approval,contextual_superior_review,16
required_approval,cross_jurisdiction_superior_approval,68
required_approval,cross_jurisdiction_superior_approval|manual_node_outage_review,2
required_approval,cross_jurisdiction_superior_approval|manual_node_outage_review|sealed_record_superior_review|sensitive_record_approval,2
required_approval,cross_jurisdiction_superior_approval|manual_node_outage_review|sensitive_record_approval,4
required_approval,cross_jurisdiction_superior_approval|sealed_record_superior_review,13
required_approval,cross_jurisdiction_superior_approval|sealed_record_superior_review|sensitive_record_approval,31
required_approval,cross_jurisdiction_superior_approval|sensitive_record_approval,145
required_approval,cross_jurisdiction_superior_approval|sensitive_record_approval|superior_emergency_review,34
required_approval,cross_jurisdiction_superior_approval|superior_emergency_review,9
required_approval,manual_node_outage_review,3
required_approval,manual_node_outage_review|sensitive_record_approval,4
required_approval,none,498
required_approval,sealed_record_superior_review,7
required_approval,sealed_record_superior_review|sensitive_record_approval,5
required_approval,sensitive_record_approval,79
required_approval,sensitive_record_approval|superior_emergency_review,4
sensitivity_by_decision,CLASSIFIED::deny,104
sensitivity_by_decision,CLASSIFIED::escalate,130
sensitivity_by_decision,HIGH::deny,193
sensitivity_by_decision,HIGH::escalate,268
sensitivity_by_decision,LOW::allow,24
sensitivity_by_decision,LOW::deny,26
sensitivity_by_decision,LOW::escalate,13
sensitivity_by_decision,MEDIUM::allow,77
sensitivity_by_decision,MEDIUM::deny,74
sensitivity_by_decision,MEDIUM::escalate,91
