summary_group,value,count
decision,allow,113
decision,deny,409
decision,escalate,478
decision_by_scenario,court_request::allow,6
decision_by_scenario,court_request::deny,13
decision_by_scenario,court_request::escalate,67
decision_by_scenario,cross_jurisdiction_sensitive::deny,30
decision_by_scenario,cross_jurisdiction_sensitive::escalate,100
decision_by_scenario,emergency_override::deny,16
decision_by_scenario,emergency_override::escalate,60
decision_by_scenario,expired_approval_token::deny,65
decision_by_scenario,juvenile_sensitive::deny,14
decision_by_scenario,juvenile_sensitive::escalate,60
decision_by_scenario,normal_in_jurisdiction::allow,107
decision_by_scenario,normal_in_jurisdiction::deny,45
decision_by_scenario,normal_in_jurisdiction::escalate,80
decision_by_scenario,random_context::deny,39
decision_by_scenario,random_context::escalate,70
decision_by_scenario,revoked_credential::deny,73
decision_by_scenario,sealed_record::deny,30
decision_by_scenario,sealed_record::escalate,41
decision_by_scenario,stale_case_assignment::deny,84
primary_reason_code,ALLOW_ROUTINE_CONTEXTUAL_ACCESS,113
primary_reason_code,DENY_APPROVAL_ACTION_WITHOUT_SUPERVISOR_RANK,19
primary_reason_code,DENY_CLASSIFIED_SHARE_WITHOUT_VALID_APPROVAL,1
primary_reason_code,DENY_EXPIRED_APPROVAL_TOKEN,65
primary_reason_code,DENY_INACTIVE_CREDENTIAL,84
primary_reason_code,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT,128
primary_reason_code,DENY_SENSITIVE_UPDATE_WITH_LOW_RANK,18
primary_reason_code,DENY_STALE_CASE_ASSIGNMENT,84
primary_reason_code,DENY_TRAINING_PURPOSE_FOR_SENSITIVE_RECORD,10
primary_reason_code,ESCALATE_CONTEXTUAL_REVIEW_REQUIRED,15
primary_reason_code,ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,91
primary_reason_code,ESCALATE_EMERGENCY_REVIEW_REQUIRED,60
primary_reason_code,ESCALATE_NODE_STATUS_DEGRADED,2
primary_reason_code,ESCALATE_PRIVACY_SENSITIVE_RECORD,251
primary_reason_code,ESCALATE_SEALED_RECORD_REVIEW_REQUIRED,59
required_approval,classified_record_approval|cross_jurisdiction_superior_approval,5
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|sealed_record_superior_review|sensitive_record_approval,4
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|sensitive_record_approval,36
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|sensitive_record_approval|superior_emergency_review,6
required_approval,classified_record_approval|sealed_record_superior_review|sensitive_record_approval,3
required_approval,classified_record_approval|sensitive_record_approval,3
required_approval,contextual_superior_review,15
required_approval,cross_jurisdiction_superior_approval,64
required_approval,cross_jurisdiction_superior_approval|manual_node_outage_review|sealed_record_superior_review,1
required_approval,cross_jurisdiction_superior_approval|manual_node_outage_review|sealed_record_superior_review|sensitive_record_approval,2
required_approval,cross_jurisdiction_superior_approval|manual_node_outage_review|sensitive_record_approval,4
required_approval,cross_jurisdiction_superior_approval|sealed_record_superior_review,11
required_approval,cross_jurisdiction_superior_approval|sealed_record_superior_review|sensitive_record_approval,19
required_approval,cross_jurisdiction_superior_approval|sensitive_record_approval,150
required_approval,cross_jurisdiction_superior_approval|sensitive_record_approval|superior_emergency_review,34
required_approval,cross_jurisdiction_superior_approval|superior_emergency_review,18
required_approval,manual_node_outage_review,2
required_approval,manual_node_outage_review|sealed_record_superior_review|sensitive_record_approval,1
required_approval,manual_node_outage_review|sensitive_record_approval,5
required_approval,none,522
required_approval,sealed_record_superior_review,10
required_approval,sealed_record_superior_review|sensitive_record_approval,8
required_approval,sensitive_record_approval,75
required_approval,sensitive_record_approval|superior_emergency_review,2
sensitivity_by_decision,CLASSIFIED::deny,101
sensitivity_by_decision,CLASSIFIED::escalate,118
sensitivity_by_decision,HIGH::deny,196
sensitivity_by_decision,HIGH::escalate,258
sensitivity_by_decision,LOW::allow,23
sensitivity_by_decision,LOW::deny,26
sensitivity_by_decision,LOW::escalate,19
sensitivity_by_decision,MEDIUM::allow,90
sensitivity_by_decision,MEDIUM::deny,86
sensitivity_by_decision,MEDIUM::escalate,83
