case_id,case_type,case_status,originating_station_id,district_id,state_id,sensitivity_hint,assigned_officer_ids,synthetic_only
CASE-00001,GENERAL_THEFT,COURT_PENDING,STATE_02_DIST_04_PS_02,STATE_02_DIST_04,STATE_02,MEDIUM,OFF-0093|OFF-0030|OFF-0236,true
CASE-00002,JUVENILE_PROTECTION,COURT_PENDING,STATE_03_DIST_02_PS_01,STATE_03_DIST_02,STATE_03,HIGH,OFF-0175|OFF-0082|OFF-0117|OFF-0215,true
CASE-00003,MISSING_PERSON,COURT_PENDING,STATE_02_DIST_04_PS_03,STATE_02_DIST_04,STATE_02,MEDIUM,OFF-0051|OFF-0198|OFF-0221,true
CASE-00004,MISSING_PERSON,UNDER_INVESTIGATION,STATE_03_DIST_04_PS_02,STATE_03_DIST_04,STATE_03,MEDIUM,OFF-0050,true
CASE-00005,MISSING_PERSON,UNDER_INVESTIGATION,STATE_02_DIST_03_PS_01,STATE_02_DIST_03,STATE_02,MEDIUM,OFF-0125|OFF-0157|OFF-0152|OFF-0239,true
CASE-00006,FINANCIAL_CRIME,CHARGESHEETED,STATE_01_DIST_01_PS_03,STATE_01_DIST_01,STATE_01,MEDIUM,OFF-0122|OFF-0048|OFF-0154|OFF-0115,true
CASE-00007,NARCOTICS,CLOSED,STATE_02_DIST_04_PS_03,STATE_02_DIST_04,STATE_02,MEDIUM,OFF-0221|OFF-0198,true
CASE-00008,NARCOTICS,OPEN,STATE_01_DIST_01_PS_03,STATE_01_DIST_01,STATE_01,MEDIUM,OFF-0122|OFF-0154|OFF-0162,true
CASE-00009,NARCOTICS,CHARGESHEETED,STATE_01_DIST_01_PS_03,STATE_01_DIST_01,STATE_01,MEDIUM,OFF-0122|OFF-0154|OFF-0048,true
CASE-00010,FINANCIAL_CRIME,UNDER_INVESTIGATION,STATE_01_DIST_03_PS_03,STATE_01_DIST_03,STATE_01,MEDIUM,OFF-0043|OFF-0041|OFF-0214,true
CASE-00011,WOMEN_CHILD_SAFETY,UNDER_INVESTIGATION,STATE_01_DIST_04_PS_03,STATE_01_DIST_04,STATE_01,HIGH,OFF-0202,true
CASE-00012,WOMEN_CHILD_SAFETY,UNDER_INVESTIGATION,STATE_02_DIST_02_PS_02,STATE_02_DIST_02,STATE_02,HIGH,OFF-0153|OFF-0024|OFF-0116,true
CASE-00013,CYBER_FRAUD,UNDER_INVESTIGATION,STATE_01_DIST_03_PS_03,STATE_01_DIST_03,STATE_01,HIGH,OFF-0041|OFF-0163|OFF-0214|OFF-0043,true
CASE-00014,MISSING_PERSON,CLOSED,STATE_01_DIST_02_PS_02,STATE_01_DIST_02,STATE_01,MEDIUM,OFF-0200|OFF-0133,true
