request_id,timestamp_utc,scenario_type,requester_officer_id,requester_officer_hash,requester_role,requester_rank_level,requester_agency,requester_station_id,requester_district_id,requester_state_id,requester_clearance_level,requester_credential_status,case_assignment_status,target_record_id,target_record_hash,target_case_id,target_case_type,target_record_type,target_station_id,target_district_id,target_state_id,target_owner_agency,record_sensitivity_level,victim_flag,witness_flag,juvenile_flag,evidence_media_flag,sealed_status,retention_status,same_station,same_district,same_state,cross_jurisdiction,purpose,action,emergency_flag,court_or_prosecutor_request_flag,approval_token_status,time_window,network_status,request_channel,policy_version,raw_record_included,synthetic_only,request_content_hash
REQ-000001,2026-05-27T00:12:00Z,revoked_credential,OFF-0065,6d335433b612a148a4921389,Constable,1,POLICE,STATE_03_DIST_02_PS_02,STATE_03_DIST_02,STATE_03,LOW,REVOKED,NOT_ASSIGNED,REC-000124,18d1592d4e115ec7275f6778,CASE-00032,GENERAL_THEFT,VICTIM_RECORD,STATE_03_DIST_01_PS_01,STATE_03_DIST_01,STATE_03,POLICE,MEDIUM,true,false,false,false,OPEN,ACTIVE,false,false,true,true,INVESTIGATION,VIEW,false,false,MISSING,BUSINESS_HOURS,STATION_NODE_DOWN,MANUAL_ESCALATION,P-2026-05-STEP1,false,true,1efdc155e12d6a259a6a761b9c2e0e01bc97f284d231d0bf7f07f227053a0750
REQ-000002,2026-05-27T00:32:00Z,normal_in_jurisdiction,OFF-0236,3a6a5386535f809a826fc8a7,Inspector,4,POLICE,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,STATE_02,MEDIUM,ACTIVE,ASSIGNED,REC-000233,95272f463d03a2186ae00bc6,CASE-00125,GENERAL_THEFT,CYBERCRIME_COMPLAINT,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,STATE_02,POLICE,MEDIUM,false,false,false,false,OPEN,ACTIVE,true,true,true,false,INVESTIGATION,VIEW,false,false,NOT_REQUIRED,BUSINESS_HOURS,ONLINE,MANUAL_ESCALATION,P-2026-05-STEP1,false,true,91ad342de1891400937f30895cbbc218ca432c53f76c02cd19ff88ee21c2909b
REQ-000003,2026-05-27T00:30:00Z,stale_case_assignment,OFF-0029,1f84d906e82c7901ab98337e,Head Constable,2,POLICE,STATE_02_DIST_03_PS_01,STATE_02_DIST_03,STATE_02,LOW,ACTIVE,STALE,REC-000071,1ce4791bcfe4088122f5f137,CASE-00099,FINANCIAL_CRIME,COURT_SUBMISSION,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,STATE_01,POLICE,HIGH,false,false,false,false,OPEN,ACTIVE,false,false,false,true,INVESTIGATION,DOWNLOAD,false,false,MISSING,AFTER_HOURS,ONLINE,CCTNS_STYLE_API,P-2026-05-STEP1,false,true,96ed5efc4054ed9f84b5c390ab48ae8dcbc68f8d00f3b645224a9b5e2d680681
REQ-000004,2026-05-27T00:32:00Z,stale_case_assignment,OFF-0003,5e4ff04af077f5ff22cd6cd0,Cybercrime Officer,4,CYBERCRIME,STATE_02_DIST_01_PS_02,STATE_02_DIST_01,STATE_02,HIGH,ACTIVE,STALE,REC-000821,103411f419260d94e9a6d3cc,CASE-00022,JUVENILE_PROTECTION,WITNESS_STATEMENT,STATE_01_DIST_02_PS_02,STATE_01_DIST_02,STATE_01,POLICE,HIGH,false,true,true,false,OPEN,UNDER_REVIEW,false,false,false,true,INVESTIGATION,UPDATE,false,false,MISSING,BUSINESS_HOURS,ONLINE,CCTNS_STYLE_API,P-2026-05-STEP1,false,true,06776debb7a118764f2ca2e13c7e956681f96228fa5bb8bb585fd941660f5d2e
REQ-000005,2026-05-27T01:00:00Z,cross_jurisdiction_sensitive,OFF-0182,f733b89b991cd7dc6791cabb,Sub-Inspector,3,POLICE,STATE_01_DIST_01_PS_02,STATE_01_DIST_01,STATE_01,MEDIUM,ACTIVE,NOT_ASSIGNED,REC-000794,949e9506f350533dfbd08052,CASE-00018,NARCOTICS,VICTIM_RECORD,STATE_01_DIST_04_PS_01,STATE_01_DIST_04,STATE_01,POLICE,HIGH,true,false,false,false,OPEN,ACTIVE,false,false,true,true,SUPERVISION,UPDATE,false,false,PRESENT_VALID,NIGHT,ONLINE,MANUAL_ESCALATION,P-2026-05-STEP1,false,true,a0acc9d097dca2de67789b3bb10fd5d80dafd01cd5b08fd16da184b59daf5688
REQ-000006,2026-05-27T00:12:00Z,revoked_credential,OFF-0196,d60f48d22e03c3316a18fa6d,Inspector,4,POLICE,STATE_01_DIST_03_PS_01,STATE_01_DIST_03,STATE_01,MEDIUM,REVOKED,NOT_ASSIGNED,REC-000563,c8574da02d53b2b3900286b3,CASE-00016,WOMEN_CHILD_SAFETY,WITNESS_STATEMENT,STATE_02_DIST_01_PS_01,STATE_02_DIST_01,STATE_02,POLICE,HIGH,true,true,false,false,OPEN,ACTIVE,false,false,false,true,AUDIT,VIEW,false,false,MISSING,BUSINESS_HOURS,ONLINE,ICJS_STYLE_EXCHANGE,P-2026-05-STEP1,false,true,c64bdabec23fc876582af0972f1e6e1a634c788cb6ab84563fba3f64b1da3ea0
REQ-000007,2026-05-27T01:38:00Z,random_context,OFF-0141,69b61a8c9ab3b270d0f7db2e,Constable,1,POLICE,STATE_03_DIST_01_PS_02,STATE_03_DIST_01,STATE_03,LOW,ACTIVE,NOT_ASSIGNED,REC-000208,3387ee3b0be0919f165e192f,CASE-00115,NARCOTICS,CASE_DIARY,STATE_01_DIST_01_PS_02,STATE_01_DIST_01,STATE_01,POLICE,HIGH,false,false,false,false,OPEN,ACTIVE,false,false,false,true,INVESTIGATION,VIEW,false,false,NOT_REQUIRED,BUSINESS_HOURS,ONLINE,ICJS_STYLE_EXCHANGE,P-2026-05-STEP1,false,true,c3c0b06edd762276302b4a0bc186265de6f2ab043ddc8ad277fc9183db08470a
REQ-000008,2026-05-27T00:40:00Z,cross_jurisdiction_sensitive,OFF-0086,90740f6d12084e4c579f3454,Sub-Inspector,3,POLICE,STATE_01_DIST_01_PS_01,STATE_01_DIST_01,STATE_01,MEDIUM,ACTIVE,NOT_ASSIGNED,REC-000768,17c8611dfefa058b391351b2,CASE-00194,JUVENILE_PROTECTION,CASE_DIARY,STATE_03_DIST_04_PS_02,STATE_03_DIST_04,STATE_03,POLICE,HIGH,false,false,true,false,OPEN,ACTIVE,false,false,false,true,INVESTIGATION,VIEW,false,false,PRESENT_VALID,BUSINESS_HOURS,ONLINE,MANUAL_ESCALATION,P-2026-05-STEP1,false,true,3c3c3d46806eb182557f37351aa62e742b2a313755277525ec808bd43c8ff781
REQ-000009,2026-05-27T02:06:00Z,cross_jurisdiction_sensitive,OFF-0224,b20f60775fe6a25591c31932,Inspector,4,POLICE,STATE_02_DIST_01_PS_03,STATE_02_DIST_01,STATE_02,MEDIUM,ACTIVE,NOT_ASSIGNED,REC-000430,706262d522186a84dc851323,CASE-00127,CYBER_FRAUD,COURT_SUBMISSION,STATE_02_DIST_04_PS_03,STATE_02_DIST_04,STATE_02,POLICE,CLASSIFIED,false,false,false,false,SEALED,ACTIVE,false,false,true,true,INVESTIGATION,VIEW,false,false,PRESENT_VALID,AFTER_HOURS,ONLINE,MANUAL_ESCALATION,P-2026-05-STEP1,false,true,4421cc0f4403b4529f2d525c509d277f3b04806569987b9fdaa8b77918ccd277
REQ-000010,2026-05-27T02:50:00Z,normal_in_jurisdiction,OFF-0158,88db5c4f1341722984d72ca6,Head Constable,2,POLICE,STATE_02_DIST_02_PS_01,STATE_02_DIST_02,STATE_02,LOW,ACTIVE,ASSIGNED,REC-000382,4451c095fe2e4d1a159e9e35,CASE-00176,VIOLENT_CRIME,WITNESS_STATEMENT,STATE_02_DIST_02_PS_01,STATE_02_DIST_02,STATE_02,POLICE,MEDIUM,false,true,false,false,OPEN,ACTIVE,true,true,true,false,INVESTIGATION,VIEW,false,false,NOT_REQUIRED,BUSINESS_HOURS,ONLINE,MANUAL_ESCALATION,P-2026-05-STEP1,false,true,bbd426e55d79828d1d85a58c2b7002e19b2a1c8bf65c156123376dddbb0f5ac2
