profile_group,value,count
request.scenario_type,court_request,67
request.scenario_type,cross_jurisdiction_sensitive,131
request.scenario_type,emergency_override,71
request.scenario_type,expired_approval_token,71
request.scenario_type,juvenile_sensitive,90
request.scenario_type,normal_in_jurisdiction,191
request.scenario_type,random_context,102
request.scenario_type,revoked_credential,83
request.scenario_type,sealed_record,97
request.scenario_type,stale_case_assignment,97
request.cross_jurisdiction,false,194
request.cross_jurisdiction,true,806
request.approval_token_status,EXPIRED,71
request.approval_token_status,MISSING,399
request.approval_token_status,NOT_REQUIRED,251
request.approval_token_status,PRESENT_VALID,279
request.purpose,AUDIT,54
request.purpose,COURT_PRODUCTION,93
request.purpose,EMERGENCY_RESPONSE,82
request.purpose,FORENSIC_REVIEW,75
request.purpose,INVESTIGATION,489
request.purpose,PROSECUTION_REVIEW,97
request.purpose,SUPERVISION,99
request.purpose,TRAINING,11
request.action,APPROVE,28
request.action,DOWNLOAD,144
request.action,SHARE,45
request.action,UPDATE,43
request.action,VIEW,740
request.record_sensitivity_level,CLASSIFIED,234
request.record_sensitivity_level,HIGH,461
request.record_sensitivity_level,LOW,63
request.record_sensitivity_level,MEDIUM,242
officer.credential_status,ACTIVE,220
officer.credential_status,REVOKED,14
officer.credential_status,SUSPENDED,6
officer.role,Constable,43
officer.role,Cybercrime Officer,21
officer.role,Forensic Officer,13
officer.role,Head Constable,38
officer.role,Inspector,44
officer.role,Prosecutor Liaison,12
officer.role,Senior Superintendent,5
officer.role,Station House Officer,18
officer.role,Sub-Inspector,46
record.record_type,CASE_DIARY,113
record.record_type,COURT_SUBMISSION,102
record.record_type,CYBERCRIME_COMPLAINT,96
record.record_type,EVIDENCE_MEDIA,87
record.record_type,FIR_SUMMARY,88
record.record_type,FORENSIC_REPORT,103
record.record_type,JUVENILE_RECORD,94
record.record_type,VICTIM_RECORD,107
record.record_type,WITNESS_STATEMENT,110
record.sensitivity_level,CLASSIFIED,220
record.sensitivity_level,HIGH,491
record.sensitivity_level,LOW,40
record.sensitivity_level,MEDIUM,149
