case_id,case_type,case_status,originating_station_id,district_id,state_id,sensitivity_hint,assigned_officer_ids,synthetic_only
CASE-00001,WOMEN_CHILD_SAFETY,COURT_PENDING,STATE_03_DIST_01_PS_03,STATE_03_DIST_01,STATE_03,HIGH,OFF-0019|OFF-0063,true
CASE-00002,FINANCIAL_CRIME,UNDER_INVESTIGATION,STATE_03_DIST_02_PS_01,STATE_03_DIST_02,STATE_03,MEDIUM,OFF-0038|OFF-0165|OFF-0022|OFF-0134,true
CASE-00003,GENERAL_THEFT,COURT_PENDING,STATE_01_DIST_03_PS_01,STATE_01_DIST_03,STATE_01,MEDIUM,OFF-0053|OFF-0057|OFF-0083|OFF-0209,true
CASE-00004,WOMEN_CHILD_SAFETY,COURT_PENDING,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,STATE_02,HIGH,OFF-0112,true
CASE-00005,GENERAL_THEFT,UNDER_INVESTIGATION,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,STATE_02,MEDIUM,OFF-0183|OFF-0095|OFF-0156|OFF-0084,true
CASE-00006,MISSING_PERSON,COURT_PENDING,STATE_02_DIST_03_PS_01,STATE_02_DIST_03,STATE_02,MEDIUM,OFF-0217|OFF-0196|OFF-0067,true
CASE-00007,FINANCIAL_CRIME,CHARGESHEETED,STATE_03_DIST_03_PS_01,STATE_03_DIST_03,STATE_03,MEDIUM,OFF-0113,true
CASE-00008,VIOLENT_CRIME,UNDER_INVESTIGATION,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,STATE_02,MEDIUM,OFF-0041,true
CASE-00009,FINANCIAL_CRIME,CHARGESHEETED,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,STATE_03,MEDIUM,OFF-0024|OFF-0087|OFF-0034|OFF-0120,true
CASE-00010,GENERAL_THEFT,OPEN,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,STATE_02,MEDIUM,OFF-0084,true
CASE-00011,JUVENILE_PROTECTION,UNDER_INVESTIGATION,STATE_01_DIST_02_PS_03,STATE_01_DIST_02,STATE_01,HIGH,OFF-0075|OFF-0085|OFF-0237,true
CASE-00012,NARCOTICS,CLOSED,STATE_01_DIST_03_PS_01,STATE_01_DIST_03,STATE_01,MEDIUM,OFF-0083,true
CASE-00013,VIOLENT_CRIME,CHARGESHEETED,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,STATE_02,MEDIUM,OFF-0095|OFF-0084|OFF-0030|OFF-0156,true
CASE-00014,MISSING_PERSON,COURT_PENDING,STATE_01_DIST_02_PS_03,STATE_01_DIST_02,STATE_01,MEDIUM,OFF-0237|OFF-0173,true
CASE-00015,GENERAL_THEFT,OPEN,STATE_02_DIST_02_PS_03,STATE_02_DIST_02,STATE_02,MEDIUM,OFF-0236|OFF-0187,true
CASE-00016,VIOLENT_CRIME,OPEN,STATE_01_DIST_02_PS_01,STATE_01_DIST_02,STATE_01,MEDIUM,OFF-0035,true
CASE-00017,CYBER_FRAUD,UNDER_INVESTIGATION,STATE_03_DIST_02_PS_01,STATE_03_DIST_02,STATE_03,HIGH,OFF-0134,true
CASE-00018,VIOLENT_CRIME,OPEN,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,STATE_03,MEDIUM,OFF-0102|OFF-0080|OFF-0089,true
CASE-00019,JUVENILE_PROTECTION,CHARGESHEETED,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,STATE_02,HIGH,OFF-0156|OFF-0003|OFF-0183,true
CASE-00020,MISSING_PERSON,OPEN,STATE_03_DIST_02_PS_01,STATE_03_DIST_02,STATE_03,MEDIUM,OFF-0100|OFF-0022|OFF-0038,true
CASE-00021,JUVENILE_PROTECTION,OPEN,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,STATE_02,HIGH,OFF-0030|OFF-0156,true
CASE-00022,MISSING_PERSON,UNDER_INVESTIGATION,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,STATE_02,MEDIUM,OFF-0095|OFF-0156|OFF-0084|OFF-0183,true
CASE-00023,FINANCIAL_CRIME,UNDER_INVESTIGATION,STATE_03_DIST_04_PS_02,STATE_03_DIST_04,STATE_03,MEDIUM,OFF-0226|OFF-0141|OFF-0077,true
CASE-00024,FINANCIAL_CRIME,CHARGESHEETED,STATE_01_DIST_02_PS_01,STATE_01_DIST_02,STATE_01,MEDIUM,OFF-0155|OFF-0001,true
CASE-00025,GENERAL_THEFT,OPEN,STATE_01_DIST_04_PS_01,STATE_01_DIST_04,STATE_01,MEDIUM,OFF-0051|OFF-0199,true
CASE-00026,NARCOTICS,OPEN,STATE_03_DIST_02_PS_03,STATE_03_DIST_02,STATE_03,MEDIUM,OFF-0240|OFF-0044,true
CASE-00027,NARCOTICS,OPEN,STATE_01_DIST_01_PS_01,STATE_01_DIST_01,STATE_01,MEDIUM,OFF-0200,true
CASE-00028,VIOLENT_CRIME,UNDER_INVESTIGATION,STATE_02_DIST_01_PS_03,STATE_02_DIST_01,STATE_02,MEDIUM,OFF-0107,true
CASE-00029,FINANCIAL_CRIME,COURT_PENDING,STATE_03_DIST_03_PS_01,STATE_03_DIST_03,STATE_03,MEDIUM,OFF-0018|OFF-0113,true
CASE-00030,JUVENILE_PROTECTION,UNDER_INVESTIGATION,STATE_03_DIST_01_PS_01,STATE_03_DIST_01,STATE_03,HIGH,OFF-0002,true
CASE-00031,MISSING_PERSON,CHARGESHEETED,STATE_01_DIST_01_PS_02,STATE_01_DIST_01,STATE_01,MEDIUM,OFF-0167|OFF-0078|OFF-0169|OFF-0221,true
CASE-00032,FINANCIAL_CRIME,CHARGESHEETED,STATE_03_DIST_04_PS_02,STATE_03_DIST_04,STATE_03,MEDIUM,OFF-0081,true
CASE-00033,VIOLENT_CRIME,UNDER_INVESTIGATION,STATE_02_DIST_04_PS_03,STATE_02_DIST_04,STATE_02,MEDIUM,OFF-0111|OFF-0086|OFF-0160,true
CASE-00034,NARCOTICS,CLOSED,STATE_01_DIST_01_PS_02,STATE_01_DIST_01,STATE_01,MEDIUM,OFF-0078|OFF-0169|OFF-0203|OFF-0167,true
CASE-00035,NARCOTICS,UNDER_INVESTIGATION,STATE_03_DIST_03_PS_03,STATE_03_DIST_03,STATE_03,MEDIUM,OFF-0193|OFF-0201|OFF-0151|OFF-0175,true
CASE-00036,FINANCIAL_CRIME,COURT_PENDING,STATE_03_DIST_04_PS_02,STATE_03_DIST_04,STATE_03,MEDIUM,OFF-0226|OFF-0141|OFF-0081,true
CASE-00037,FINANCIAL_CRIME,CHARGESHEETED,STATE_03_DIST_04_PS_01,STATE_03_DIST_04,STATE_03,MEDIUM,OFF-0222|OFF-0054|OFF-0191,true
CASE-00038,NARCOTICS,CLOSED,STATE_01_DIST_01_PS_02,STATE_01_DIST_01,STATE_01,MEDIUM,OFF-0078|OFF-0203|OFF-0169,true
CASE-00039,CYBER_FRAUD,UNDER_INVESTIGATION,STATE_02_DIST_02_PS_03,STATE_02_DIST_02,STATE_02,HIGH,OFF-0137,true
CASE-00040,MISSING_PERSON,COURT_PENDING,STATE_01_DIST_04_PS_02,STATE_01_DIST_04,STATE_01,MEDIUM,OFF-0161,true
CASE-00041,CYBER_FRAUD,CHARGESHEETED,STATE_02_DIST_02_PS_02,STATE_02_DIST_02,STATE_02,HIGH,OFF-0070|OFF-0158|OFF-0146,true
CASE-00042,GENERAL_THEFT,COURT_PENDING,STATE_01_DIST_02_PS_01,STATE_01_DIST_02,STATE_01,MEDIUM,OFF-0001|OFF-0035|OFF-0228|OFF-0155,true
CASE-00043,MISSING_PERSON,UNDER_INVESTIGATION,STATE_02_DIST_01_PS_02,STATE_02_DIST_01,STATE_02,MEDIUM,OFF-0114|OFF-0239|OFF-0180,true
CASE-00044,WOMEN_CHILD_SAFETY,CHARGESHEETED,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,STATE_02,HIGH,OFF-0112|OFF-0041|OFF-0055|OFF-0124,true
CASE-00045,CYBER_FRAUD,CHARGESHEETED,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,STATE_02,HIGH,OFF-0156|OFF-0095|OFF-0183,true
CASE-00046,MISSING_PERSON,CHARGESHEETED,STATE_02_DIST_01_PS_03,STATE_02_DIST_01,STATE_02,MEDIUM,OFF-0142,true
CASE-00047,MISSING_PERSON,UNDER_INVESTIGATION,STATE_03_DIST_03_PS_03,STATE_03_DIST_03,STATE_03,MEDIUM,OFF-0118|OFF-0151|OFF-0026,true
