profile_group,value,count
request.scenario_type,court_request,78
request.scenario_type,cross_jurisdiction_sensitive,174
request.scenario_type,emergency_override,50
request.scenario_type,expired_approval_token,71
request.scenario_type,juvenile_sensitive,74
request.scenario_type,normal_in_jurisdiction,197
request.scenario_type,random_context,83
request.scenario_type,revoked_credential,105
request.scenario_type,sealed_record,73
request.scenario_type,stale_case_assignment,95
request.cross_jurisdiction,false,226
request.cross_jurisdiction,true,774
request.approval_token_status,EXPIRED,71
request.approval_token_status,MISSING,392
request.approval_token_status,NOT_REQUIRED,251
request.approval_token_status,PRESENT_VALID,286
request.purpose,AUDIT,71
request.purpose,COURT_PRODUCTION,63
request.purpose,EMERGENCY_RESPONSE,56
request.purpose,FORENSIC_REVIEW,113
request.purpose,INVESTIGATION,484
request.purpose,PROSECUTION_REVIEW,98
request.purpose,SUPERVISION,99
request.purpose,TRAINING,16
request.action,APPROVE,30
request.action,DOWNLOAD,172
request.action,SHARE,55
request.action,UPDATE,54
request.action,VIEW,689
request.record_sensitivity_level,CLASSIFIED,236
request.record_sensitivity_level,HIGH,429
request.record_sensitivity_level,LOW,78
request.record_sensitivity_level,MEDIUM,257
officer.credential_status,ACTIVE,215
officer.credential_status,REVOKED,12
officer.credential_status,SUSPENDED,13
officer.role,Constable,44
officer.role,Cybercrime Officer,9
officer.role,Forensic Officer,24
officer.role,Head Constable,28
officer.role,Inspector,37
officer.role,Prosecutor Liaison,12
officer.role,Senior Superintendent,8
officer.role,Station House Officer,19
officer.role,Sub-Inspector,59
record.record_type,CASE_DIARY,108
record.record_type,COURT_SUBMISSION,105
record.record_type,CYBERCRIME_COMPLAINT,97
record.record_type,EVIDENCE_MEDIA,108
record.record_type,FIR_SUMMARY,117
record.record_type,FORENSIC_REPORT,98
record.record_type,JUVENILE_RECORD,90
record.record_type,VICTIM_RECORD,98
record.record_type,WITNESS_STATEMENT,79
record.sensitivity_level,CLASSIFIED,227
record.sensitivity_level,HIGH,453
record.sensitivity_level,LOW,48
record.sensitivity_level,MEDIUM,172
