request_id,timestamp_utc,scenario_type,requester_officer_id,requester_officer_hash,requester_role,requester_rank_level,requester_agency,requester_station_id,requester_district_id,requester_state_id,requester_clearance_level,requester_credential_status,case_assignment_status,target_record_id,target_record_hash,target_case_id,target_case_type,target_record_type,target_station_id,target_district_id,target_state_id,target_owner_agency,record_sensitivity_level,victim_flag,witness_flag,juvenile_flag,evidence_media_flag,sealed_status,retention_status,same_station,same_district,same_state,cross_jurisdiction,purpose,action,emergency_flag,court_or_prosecutor_request_flag,approval_token_status,time_window,network_status,request_channel,policy_version,raw_record_included,synthetic_only,request_content_hash
REQ-000001,2026-05-27T00:10:00Z,revoked_credential,OFF-0127,6b0d84a1d858aa1335aacb1b,Station House Officer,5,POLICE,STATE_02_DIST_04_PS_03,STATE_02_DIST_04,STATE_02,HIGH,REVOKED,NOT_ASSIGNED,REC-000166,b4c023d7b119f20e5d0e1666,CASE-00338,VIOLENT_CRIME,CASE_DIARY,STATE_03_DIST_03_PS_03,STATE_03_DIST_03,STATE_03,POLICE,HIGH,false,false,false,false,OPEN,ACTIVE,false,false,false,true,AUDIT,VIEW,false,false,MISSING,BUSINESS_HOURS,ONLINE,ICJS_STYLE_EXCHANGE,P-2026-05-STEP1,false,true,7b9637ccca50e459895587d5079601b6fa94b16323c39f82262f452f55e19767
REQ-000002,2026-05-27T00:08:00Z,revoked_credential,OFF-0104,bacbc9ea0ca5c88caca1fb35,Prosecutor Liaison,4,PROSECUTION,STATE_02_DIST_04_PS_02,STATE_02_DIST_04,STATE_02,MEDIUM,REVOKED,NOT_ASSIGNED,REC-000814,5820681615acad6176f4144a,CASE-00082,NARCOTICS,FIR_SUMMARY,STATE_02_DIST_03_PS_02,STATE_02_DIST_03,STATE_02,POLICE,MEDIUM,false,false,false,false,OPEN,ARCHIVED,false,false,true,true,AUDIT,UPDATE,false,false,MISSING,BUSINESS_HOURS,DEGRADED,CCTNS_STYLE_API,P-2026-05-STEP1,false,true,d07421afa1069f9d5b8a3cf7908b0408c4a1e7b4df983f5c6b98cf87e369cd4f
REQ-000003,2026-05-27T00:36:00Z,random_context,OFF-0226,2f283926393a08241f4c19ba,Station House Officer,5,POLICE,STATE_03_DIST_04_PS_02,STATE_03_DIST_04,STATE_03,HIGH,ACTIVE,NOT_ASSIGNED,REC-000454,08885d987fd222a58c5328a3,CASE-00291,JUVENILE_PROTECTION,CYBERCRIME_COMPLAINT,STATE_02_DIST_01_PS_03,STATE_02_DIST_01,STATE_02,POLICE,MEDIUM,false,false,true,false,OPEN,ACTIVE,false,false,false,true,INVESTIGATION,VIEW,false,false,MISSING,BUSINESS_HOURS,ONLINE,CCTNS_STYLE_API,P-2026-05-STEP1,false,true,fd78eb3f6d74860a98d8af4ef0a0659c077780fba38c52c8bea30237e610b33a
REQ-000004,2026-05-27T00:20:00Z,normal_in_jurisdiction,OFF-0180,8d48fc84d688aabaae7c6986,Prosecutor Liaison,4,PROSECUTION,STATE_02_DIST_01_PS_02,STATE_02_DIST_01,STATE_02,MEDIUM,ACTIVE,ASSIGNED,REC-000523,f25dca854781c5619ace3e1f,CASE-00275,WOMEN_CHILD_SAFETY,CYBERCRIME_COMPLAINT,STATE_02_DIST_01_PS_02,STATE_02_DIST_01,STATE_02,POLICE,MEDIUM,true,false,false,false,OPEN,UNDER_REVIEW,true,true,true,false,INVESTIGATION,VIEW,false,false,NOT_REQUIRED,NIGHT,ONLINE,ICJS_STYLE_EXCHANGE,P-2026-05-STEP1,false,true,dd9fba97ea32c6c38b68af2fca23a64947801e70ff21850421fb63bd618324ac
REQ-000005,2026-05-27T00:35:00Z,normal_in_jurisdiction,OFF-0192,3d55943653d0579351b1bb1c,Sub-Inspector,3,POLICE,STATE_02_DIST_03_PS_01,STATE_02_DIST_03,STATE_02,MEDIUM,ACTIVE,ASSIGNED,REC-000325,b1369cfe83c9b50aaaf08c20,CASE-00241,VIOLENT_CRIME,FIR_SUMMARY,STATE_02_DIST_03_PS_01,STATE_02_DIST_03,STATE_02,POLICE,MEDIUM,false,false,false,false,OPEN,ACTIVE,true,true,true,false,INVESTIGATION,VIEW,false,false,NOT_REQUIRED,NIGHT,ONLINE,MANUAL_ESCALATION,P-2026-05-STEP1,false,true,dc0cda6b0ae0e77b1100e9e8290d048bacde285f4b22a474f75fd126d5b19bc3
REQ-000006,2026-05-27T00:36:00Z,cross_jurisdiction_sensitive,OFF-0209,46719ed3c0b1ab7f0fbf5f90,Inspector,4,POLICE,STATE_01_DIST_03_PS_01,STATE_01_DIST_03,STATE_01,MEDIUM,ACTIVE,NOT_ASSIGNED,REC-000543,de8441b1623f69a2d75ebd76,CASE-00040,MISSING_PERSON,VICTIM_RECORD,STATE_01_DIST_04_PS_02,STATE_01_DIST_04,STATE_01,POLICE,HIGH,true,false,false,false,OPEN,UNDER_REVIEW,false,false,true,true,INVESTIGATION,APPROVE,false,false,PRESENT_VALID,BUSINESS_HOURS,ONLINE,ICJS_STYLE_EXCHANGE,P-2026-05-STEP1,false,true,339c93958e9bd1674a01ac4eea3036276f8d72f0f427ad318307c3c3fc6fe913
REQ-000007,2026-05-27T01:31:00Z,court_request,OFF-0021,d58ac64e32ce6bc751285238,Sub-Inspector,3,POLICE,STATE_03_DIST_01_PS_01,STATE_03_DIST_01,STATE_03,MEDIUM,ACTIVE,NOT_ASSIGNED,REC-000510,b8d1eb1153320f7d00fed69a,CASE-00254,CYBER_FRAUD,FORENSIC_REPORT,STATE_02_DIST_04_PS_02,STATE_02_DIST_04,STATE_02,POLICE,HIGH,false,false,false,false,OPEN,UNDER_REVIEW,false,false,false,true,COURT_PRODUCTION,VIEW,false,true,PRESENT_VALID,BUSINESS_HOURS,ONLINE,ICJS_STYLE_EXCHANGE,P-2026-05-STEP1,false,true,70abb11f94c8b842fd1cbf6bb674c84bc56e0853fdbbffb7e6536260f28741ca
REQ-000008,2026-05-27T01:28:00Z,emergency_override,OFF-0006,05c87980613cb5db42b892f9,Sub-Inspector,3,POLICE,STATE_02_DIST_02_PS_02,STATE_02_DIST_02,STATE_02,MEDIUM,ACTIVE,NOT_ASSIGNED,REC-000630,5735e1f43cfb1d05ceef90b4,CASE-00244,FINANCIAL_CRIME,JUVENILE_RECORD,STATE_02_DIST_01_PS_03,STATE_02_DIST_01,STATE_02,POLICE,CLASSIFIED,false,false,true,false,SEALED,ACTIVE,false,false,true,true,EMERGENCY_RESPONSE,VIEW,true,false,PRESENT_VALID,BUSINESS_HOURS,DEGRADED,MANUAL_ESCALATION,P-2026-05-STEP1,false,true,a68652a35f120567a07af87fd55661c48c2752c2403688637b15f8f410c3c6d1
REQ-000009,2026-05-27T01:30:00Z,normal_in_jurisdiction,OFF-0164,eb2cec3f8312decabe6f3925,Prosecutor Liaison,4,PROSECUTION,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,STATE_03,MEDIUM,ACTIVE,ASSIGNED,REC-000619,22d13ba63717ca715e5005a7,CASE-00051,VIOLENT_CRIME,COURT_SUBMISSION,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,STATE_03,POLICE,MEDIUM,false,false,false,false,SEALED,ACTIVE,true,true,true,false,INVESTIGATION,VIEW,false,false,NOT_REQUIRED,AFTER_HOURS,ONLINE,CCTNS_STYLE_API,P-2026-05-STEP1,false,true,9a82d65eb9216ad918c21a6f3bf03538d8d3c7b07c088387f639368969da5259
REQ-000010,2026-05-27T01:00:00Z,normal_in_jurisdiction,OFF-0015,69527641f80b28a01bb229b7,Constable,1,POLICE,STATE_02_DIST_01_PS_01,STATE_02_DIST_01,STATE_02,LOW,ACTIVE,NOT_ASSIGNED,REC-000477,abfd23e434f0f6d490ebb742,CASE-00306,WOMEN_CHILD_SAFETY,CYBERCRIME_COMPLAINT,STATE_02_DIST_02_PS_01,STATE_02_DIST_02,STATE_02,POLICE,HIGH,true,false,false,false,OPEN,ARCHIVED,false,false,true,true,INVESTIGATION,VIEW,false,false,NOT_REQUIRED,BUSINESS_HOURS,ONLINE,MANUAL_ESCALATION,P-2026-05-STEP1,false,true,f46386032e88a84715a14f404109e52164081986b53582fb7115d052f2ebed35
