officer_id,officer_hash,role,rank_level,station_id,district_id,state_id,agency,clearance_level,credential_status,is_supervisor,cyber_training,forensic_training,prior_request_count,recent_denied_count,assigned_case_ids,synthetic_only
OFF-0001,858f20314a8c64995d905a33,Head Constable,2,STATE_01_DIST_02_PS_01,STATE_01_DIST_02,STATE_01,POLICE,LOW,ACTIVE,false,false,false,55,0,CASE-00024|CASE-00042|CASE-00087|CASE-00108|CASE-00114|CASE-00120|CASE-00321,true
OFF-0002,893580185d14634211eb9a59,Inspector,4,STATE_03_DIST_01_PS_01,STATE_03_DIST_01,STATE_03,POLICE,MEDIUM,ACTIVE,false,false,false,21,8,CASE-00030|CASE-00056|CASE-00242,true
OFF-0003,5e4ff04af077f5ff22cd6cd0,Station House Officer,5,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,STATE_02,POLICE,HIGH,ACTIVE,true,false,false,56,6,CASE-00019|CASE-00326,true
OFF-0004,4fe847ab79de841540c7b990,Constable,1,STATE_01_DIST_02_PS_02,STATE_01_DIST_02,STATE_01,POLICE,LOW,ACTIVE,false,true,true,42,2,CASE-00050|CASE-00098|CASE-00104|CASE-00121|CASE-00194|CASE-00195|CASE-00270,true
OFF-0005,0c324b29f9a967adb599bde0,Cybercrime Officer,4,STATE_01_DIST_03_PS_03,STATE_01_DIST_03,STATE_01,CYBERCRIME,HIGH,ACTIVE,false,true,false,36,7,CASE-00048|CASE-00096|CASE-00107|CASE-00255|CASE-00288,true
OFF-0006,05c87980613cb5db42b892f9,Sub-Inspector,3,STATE_02_DIST_02_PS_02,STATE_02_DIST_02,STATE_02,POLICE,MEDIUM,ACTIVE,false,false,false,30,3,CASE-00077|CASE-00161|CASE-00228|CASE-00249|CASE-00358,true
OFF-0007,934e26f772b73b1d824939e2,Inspector,4,STATE_03_DIST_04_PS_01,STATE_03_DIST_04,STATE_03,POLICE,MEDIUM,SUSPENDED,false,true,false,41,8,,true
OFF-0008,f7c9b924c136028c31a62c8c,Station House Officer,5,STATE_03_DIST_02_PS_01,STATE_03_DIST_02,STATE_03,POLICE,HIGH,ACTIVE,true,false,false,31,8,CASE-00081,true
OFF-0009,48f5470b8ce4df5af3e82ab0,Sub-Inspector,3,STATE_03_DIST_01_PS_03,STATE_03_DIST_01,STATE_03,POLICE,MEDIUM,ACTIVE,false,false,false,52,1,CASE-00100|CASE-00102|CASE-00133|CASE-00159|CASE-00164|CASE-00240|CASE-00250|CASE-00329,true
OFF-0010,bcb4468affef262ed92897ea,Inspector,4,STATE_03_DIST_03_PS_02,STATE_03_DIST_03,STATE_03,POLICE,MEDIUM,ACTIVE,false,false,false,4,7,CASE-00312|CASE-00314|CASE-00335,true
OFF-0011,84a9b6fb8d6efe7cd09043f6,Inspector,4,STATE_03_DIST_01_PS_01,STATE_03_DIST_01,STATE_03,POLICE,MEDIUM,ACTIVE,false,false,true,40,5,CASE-00198|CASE-00215|CASE-00260|CASE-00340,true
OFF-0012,1e6c5e762b98d4b3d94fa258,Forensic Officer,4,STATE_01_DIST_01_PS_01,STATE_01_DIST_01,STATE_01,FORENSIC,HIGH,SUSPENDED,false,false,true,32,0,,true
OFF-0013,3573eec47a61bb4c69e2b339,Senior Superintendent,6,STATE_02_DIST_03_PS_01,STATE_02_DIST_03,STATE_02,POLICE,CLASSIFIED,SUSPENDED,true,false,false,30,2,,true
OFF-0014,86b6682cd665b74e9695ec29,Senior Superintendent,6,STATE_01_DIST_04_PS_01,STATE_01_DIST_04,STATE_01,POLICE,CLASSIFIED,ACTIVE,true,false,true,8,7,CASE-00124,true
