request_id,target_record_hash,record_pointer_id,payload_hash,ciphertext_hash,storage_node_id,encryption_key_id,decision_hash,explanation_hash,policy_version_evaluated,block_number,block_hash,event_commitment_hash,pointer_commitment_hash,synthetic_only,raw_record_included
REQ-000001,ebee7338989614ba92eb1548,7c23875bb15e8c80d7552142,a2442cd1b07b7d697a72fce383002c7874017b441bad6ffaf1b3c61537c5588f,fa45e1768efdafddfa7ac53d4cc100b3442f63380cf9930f0a283684f235e2eb,STATE_POLICE_RECORD_VAULT_A,demo-key-a24a960f31e9,5528c8cfdb92c23feff0a56edb96a5b0071fccb3535aaebe53166e6a20b55823,f0bd4f3b97a4df2217c29b442e77234b44dd0fc780dcfdbcd5685a3cdd411fe0,P-2026-05-STEP2-ORACLE,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,7a224b28a643bb0de4c672740b495e62b21cb5d93dc0f43059dcdefc89eea9a1,918faca38bacbc632addd6e0500a048e919d45446085f47d0ef0fe267e56df92,true,false
REQ-000002,86cf9537924a3bb27fd6a3c9,d9fa6ca507763dfc70176711,39bcbf6c3960e10e5f45ffc2efd4df18271e1ea2748914d106787b96abc4dcbf,36bc2ed864f8213ba8e4f2214463a0050fa6e21101745412c727085cf5a3f961,PROSECUTION_RECORD_VAULT,demo-key-2f8689b230b2,958313998dd17dc98714b7487ac2861fdb9eab438199ab6019a1a41b337315d9,0a76906011c17bd9b6acb25d53052d67244217f47a7f4cbb88dd16133eee5a02,P-2026-05-STEP2-ORACLE,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,9c3a6510e8c0d29b0260bbf9923ce1bb24b805ae39a82a968cc9edfc3848a4f8,0a53cd9f64037dfd903bf8f7c3124caff40d82d36787050fb1d2831047bb4e02,true,false
REQ-000003,d8c9df09b1ba5408e3849067,6eacda078835644ed89c8566,4b6ac19dd370ba803ecacb1cf76818e95e6a02d1a2833e492850cdd5f75336d6,ec828f9a041246f129cb9148a86701e27d45677e0dfe2550a891c318b0da3635,STATE_POLICE_RECORD_VAULT_B,demo-key-a24a960f31e9,bed80e6e22f6f29f3c8f3c1cc0cbc710eda974bc98f3efbdff6162a3e89b2f13,a444f106a40bb84e1d6409199d0652f8f60f811305dd769cb627d4bbf480b281,P-2026-05-STEP2-ORACLE,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,edaba96e58e24831512f4bc42ef565f880c4578af976307d7028a6fcfd1fa24d,905a1abc2ce86a5d30fa7895f73681eccc3cb6b80cfeb98123853bf8579da731,true,false
REQ-000004,fb5fe9b5c0b2f6fb1de8118b,49c8948a3804bbf816fe35d7,d7a65a9480f1adac3f8a56afcefea37803690af9f10f0b74fddb90ddb390095c,b5a9b5016a079437856de0c62c5e1822b38e429e8aaa4413e864d40a1c2d918a,STATE_POLICE_RECORD_VAULT_B,demo-key-a24a960f31e9,521c34e9200d93b2ed38ab06001e30bd735bfac04440b4d91dbd86f34847ebca,3b39d6f59eb50aaec9e5dab73aaea2e32268ee86d8b3b12734dca814f3d30f5f,P-2026-05-STEP2-ORACLE,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,48380aa1b566c2b908986a9fb803c45590a6f24294a992dc4dcfd411842fe8b2,629f4e75ff8f5a3e761bad63208edcb66ab9f9c41255f064c6450872502c098d,true,false
REQ-000005,04bb3bbec77f28b17144322b,1ac6841b92f2572fe14d7bb8,c88d706dbc65cb2e90311425c4943172939a3c753320b160193b1ba1b11a1bb6,c08167a7a6ae4d6a1be6c12d8f622f604ae0871e832bb694dc9a5b7ed3390931,FORENSIC_RECORD_VAULT,demo-key-a27e431d0ad1,b5641cae8b4de6510a64815e6ab40cbbc5def96dddb8c066297412f566456bd6,dd06e583ee11b7fc10c3205face8414b1cda8cb7a4aaec2392e8246fca9a7230,P-2026-05-STEP2-ORACLE,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,35701fff4268fd7b29228c49dd00afa77ef027e4785c50b725e9b068929db729,b7e3de29d132388e1096d7530ad44c0b97b2c4ccea24bc6727ddf0d13cc7f9e6,true,false
REQ-000006,65c13ca172c0e8f26de94b13,aa978648087d758b62033b89,2de6ab7fbe98af5b296569f7f9711a54afc795c4acfe7b14fb749cae1061c674,511a61306f8414318edb2aedf2c88953b04817154ead346af4daae32d018a4ad,STATE_POLICE_RECORD_VAULT_B,demo-key-a27e431d0ad1,364b6b340b238e3f270d6e44ccc4d1c7af670b045b59e6cdff9def2ad8ace41f,ad503725a0156c5f5149579d6cda2f102fbb9a844acf96f72dabd066d40bc790,P-2026-05-STEP2-ORACLE,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,fb6d1dc62955109e13a796c3e19743734158ccd0368c2a9c315e02623cf85945,c73eae05625e847469003055707e8b7a2a96f2464011e451113c0f83e96fdacd,true,false
REQ-000007,efc254275269a6226b4fd601,a4850b69fe1db7981651e042,5c0c265557546d591987ec0f78cdf966c6916397a5ca93cdd47c6a275a21663d,26a2ec27edc171e0c6ae2089ff0174467dd38b08a57507286ff8c51351cf743f,PROSECUTION_RECORD_VAULT,demo-key-a24a960f31e9,a21de44ceedfd19e1b4ff64c2b28ff5e580eab1c23fb33d762c1579ba95fdcd0,2e89689f16f90510e3b5822aeddd44dd93095938031ce14ce2a72052d73329c7,P-2026-05-STEP2-ORACLE,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,b0a07f75a1cb5f1c041dfdebadcc4428c7690d220f2857c21903be57213fec91,e9eedbb4c226976c8468c5f9f6679af13997de9f8a9b50cc004527984ce23f92,true,false
REQ-000008,6bcf6ec8e79fb5cd0b4d23ea,cb688cf1eda2b81b3f07ea9e,3abed29ca27d4785b5124f0f90270b9771cb431ef0b2e940340b7c89f1094e65,efd9f7064e2c1b025da26351d7260afe518c2d8afd7c512597588f12c423835d,STATE_POLICE_RECORD_VAULT_A,demo-key-2f8689b230b2,76eac6f1a01cefbe731e3c6c439ea24a28b8789e395a23e4e23a61c58a95fded,b38df0e20391fa25fdcacafc82cf0da3cca9b4c3296681e99c6e6173d0185462,P-2026-05-STEP2-ORACLE,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,7785e6127f1565836dd195be93038608f6dce1a97f31d83ec05e339187374c25,50120a3585f2ec42c4a1fa9ff094b440338a7c1ad0efeadbeb5d56c7e930a64d,true,false
REQ-000009,8cd04623158a527d67db5be4,73e1aa4f6653022a7b2c8529,2d6aab11447d9776173db1b5d38fb5640b9aab6ad72125f667a363f9cd9f5732,96ca80d3db2fb97258402d8d66ab7151ad6d4e18e91ff06b904e44fe5b7eb7e5,PROSECUTION_RECORD_VAULT,demo-key-a24a960f31e9,41189bb466713ed3d20d1749739355cefff37b758cf0aa464f27aaab02900850,c8227d45095c5e5e6ae7a1f80b3f7e686953352b411af14ed9399477cbc0bd83,P-2026-05-STEP2-ORACLE,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,0e220a3126ac0d6edaf2ac9eb52daa070ba23082bc7d6dabd71883cb514a6de6,05b22b74c30c8acd67cfebbf6983172c1c49ba3646c4cad429638df2f67cf21b,true,false
REQ-000010,7d60c16d6ecbadcdbdfa7d7b,7fabf92c335b28d35afdd6e7,5cae78c63659442b94a1d9216138dcd543cea333b9e7330a7c87329307d2e4f9,8819f00e42ecdf97ba37f318eb3f55d99bad545be4dc9e85a75f5dfc86d24455,STATE_POLICE_RECORD_VAULT_B,demo-key-a24a960f31e9,748332c3258afc3655ae7c0d68784c2451e30fb625b2d24ffef11a5fa1c0a31b,ecd29a4546d3c216b85246d167ba4c5a0c450d4d4d1e26b53b7f7a9f64ac1ac1,P-2026-05-STEP2-ORACLE,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,0b29551d682bafdd9a2e19c6b953e505ed361dfedcae50bacabd73e761623a82,78de994a29810ff60fb9eab833e3bf54bddc80d16081602ac0d0549631ca04f9,true,false
