case_id,case_type,case_status,originating_station_id,district_id,state_id,sensitivity_hint,assigned_officer_ids,synthetic_only
CASE-00001,MISSING_PERSON,UNDER_INVESTIGATION,STATE_01_DIST_02_PS_03,STATE_01_DIST_02,STATE_01,MEDIUM,OFF-0124|OFF-0059,true
CASE-00002,CYBER_FRAUD,CHARGESHEETED,STATE_03_DIST_02_PS_02,STATE_03_DIST_02,STATE_03,HIGH,OFF-0213|OFF-0087|OFF-0182,true
CASE-00003,WOMEN_CHILD_SAFETY,CHARGESHEETED,STATE_03_DIST_03_PS_01,STATE_03_DIST_03,STATE_03,HIGH,OFF-0223|OFF-0037|OFF-0186|OFF-0114,true
CASE-00004,WOMEN_CHILD_SAFETY,OPEN,STATE_02_DIST_02_PS_01,STATE_02_DIST_02,STATE_02,HIGH,OFF-0109,true
CASE-00005,WOMEN_CHILD_SAFETY,CHARGESHEETED,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,STATE_02,HIGH,OFF-0171|OFF-0224|OFF-0147|OFF-0103,true
CASE-00006,JUVENILE_PROTECTION,CLOSED,STATE_03_DIST_02_PS_01,STATE_03_DIST_02,STATE_03,HIGH,OFF-0116,true
CASE-00007,GENERAL_THEFT,OPEN,STATE_02_DIST_04_PS_03,STATE_02_DIST_04,STATE_02,MEDIUM,OFF-0151,true
CASE-00008,WOMEN_CHILD_SAFETY,UNDER_INVESTIGATION,STATE_01_DIST_03_PS_01,STATE_01_DIST_03,STATE_01,HIGH,OFF-0112|OFF-0119,true
CASE-00009,NARCOTICS,UNDER_INVESTIGATION,STATE_03_DIST_01_PS_03,STATE_03_DIST_01,STATE_03,MEDIUM,OFF-0185|OFF-0150|OFF-0179,true
CASE-00010,VIOLENT_CRIME,UNDER_INVESTIGATION,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,STATE_03,MEDIUM,OFF-0078|OFF-0064|OFF-0011,true
CASE-00011,MISSING_PERSON,UNDER_INVESTIGATION,STATE_02_DIST_03_PS_01,STATE_02_DIST_03,STATE_02,MEDIUM,OFF-0175|OFF-0139|OFF-0199|OFF-0239,true
CASE-00012,VIOLENT_CRIME,CHARGESHEETED,STATE_02_DIST_04_PS_02,STATE_02_DIST_04,STATE_02,MEDIUM,OFF-0230,true
CASE-00013,FINANCIAL_CRIME,COURT_PENDING,STATE_02_DIST_01_PS_01,STATE_02_DIST_01,STATE_02,MEDIUM,OFF-0191|OFF-0062,true
CASE-00014,JUVENILE_PROTECTION,COURT_PENDING,STATE_01_DIST_01_PS_03,STATE_01_DIST_01,STATE_01,HIGH,OFF-0158|OFF-0159|OFF-0056|OFF-0061,true
CASE-00015,CYBER_FRAUD,OPEN,STATE_02_DIST_03_PS_02,STATE_02_DIST_03,STATE_02,HIGH,OFF-0237|OFF-0161,true
CASE-00016,JUVENILE_PROTECTION,CHARGESHEETED,STATE_01_DIST_02_PS_01,STATE_01_DIST_02,STATE_01,HIGH,OFF-0115,true
CASE-00017,WOMEN_CHILD_SAFETY,CHARGESHEETED,STATE_01_DIST_01_PS_03,STATE_01_DIST_01,STATE_01,HIGH,OFF-0056|OFF-0061,true
CASE-00018,JUVENILE_PROTECTION,COURT_PENDING,STATE_01_DIST_01_PS_03,STATE_01_DIST_01,STATE_01,HIGH,OFF-0069,true
CASE-00019,MISSING_PERSON,CHARGESHEETED,STATE_01_DIST_03_PS_03,STATE_01_DIST_03,STATE_01,MEDIUM,OFF-0107|OFF-0067|OFF-0153,true
CASE-00020,FINANCIAL_CRIME,OPEN,STATE_01_DIST_01_PS_03,STATE_01_DIST_01,STATE_01,MEDIUM,OFF-0146,true
CASE-00021,GENERAL_THEFT,COURT_PENDING,STATE_03_DIST_04_PS_01,STATE_03_DIST_04,STATE_03,MEDIUM,OFF-0085|OFF-0204|OFF-0080|OFF-0212,true
