summary_group,value,count
decision,allow,125
decision,deny,412
decision,escalate,463
decision_by_scenario,court_request::allow,12
decision_by_scenario,court_request::deny,10
decision_by_scenario,court_request::escalate,56
decision_by_scenario,cross_jurisdiction_sensitive::deny,30
decision_by_scenario,cross_jurisdiction_sensitive::escalate,144
decision_by_scenario,emergency_override::deny,8
decision_by_scenario,emergency_override::escalate,42
decision_by_scenario,expired_approval_token::deny,71
decision_by_scenario,juvenile_sensitive::deny,16
decision_by_scenario,juvenile_sensitive::escalate,58
decision_by_scenario,normal_in_jurisdiction::allow,113
decision_by_scenario,normal_in_jurisdiction::deny,15
decision_by_scenario,normal_in_jurisdiction::escalate,69
decision_by_scenario,random_context::deny,29
decision_by_scenario,random_context::escalate,54
decision_by_scenario,revoked_credential::deny,105
decision_by_scenario,sealed_record::deny,33
decision_by_scenario,sealed_record::escalate,40
decision_by_scenario,stale_case_assignment::deny,95
primary_reason_code,ALLOW_ROUTINE_CONTEXTUAL_ACCESS,125
primary_reason_code,DENY_APPROVAL_ACTION_WITHOUT_SUPERVISOR_RANK,15
primary_reason_code,DENY_EXPIRED_APPROVAL_TOKEN,71
primary_reason_code,DENY_INACTIVE_CREDENTIAL,122
primary_reason_code,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT,80
primary_reason_code,DENY_SENSITIVE_UPDATE_WITH_LOW_RANK,18
primary_reason_code,DENY_STALE_CASE_ASSIGNMENT,95
primary_reason_code,DENY_TRAINING_PURPOSE_FOR_SENSITIVE_RECORD,11
primary_reason_code,ESCALATE_CLASSIFIED_RECORD_APPROVAL_REQUIRED,2
primary_reason_code,ESCALATE_CONTEXTUAL_REVIEW_REQUIRED,12
primary_reason_code,ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,110
primary_reason_code,ESCALATE_EMERGENCY_REVIEW_REQUIRED,42
primary_reason_code,ESCALATE_NODE_STATUS_DEGRADED,9
primary_reason_code,ESCALATE_PRIVACY_SENSITIVE_RECORD,239
primary_reason_code,ESCALATE_SEALED_RECORD_REVIEW_REQUIRED,49
required_approval,classified_record_approval,2
required_approval,classified_record_approval|cross_jurisdiction_superior_approval,4
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|manual_node_outage_review|sensitive_record_approval,2
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|sealed_record_superior_review|sensitive_record_approval,7
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|sensitive_record_approval,28
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|sensitive_record_approval|superior_emergency_review,6
required_approval,classified_record_approval|sensitive_record_approval,3
required_approval,contextual_superior_review,12
required_approval,cross_jurisdiction_superior_approval,72
required_approval,cross_jurisdiction_superior_approval|manual_node_outage_review,1
required_approval,cross_jurisdiction_superior_approval|manual_node_outage_review|sensitive_record_approval,4
required_approval,cross_jurisdiction_superior_approval|sealed_record_superior_review,7
required_approval,cross_jurisdiction_superior_approval|sealed_record_superior_review|sensitive_record_approval,23
required_approval,cross_jurisdiction_superior_approval|sensitive_record_approval,148
required_approval,cross_jurisdiction_superior_approval|sensitive_record_approval|superior_emergency_review,23
required_approval,cross_jurisdiction_superior_approval|superior_emergency_review,9
required_approval,manual_node_outage_review,9
required_approval,manual_node_outage_review|sensitive_record_approval,6
required_approval,none,537
required_approval,sealed_record_superior_review,7
required_approval,sealed_record_superior_review|sensitive_record_approval,5
required_approval,sensitive_record_approval,81
required_approval,sensitive_record_approval|superior_emergency_review,4
sensitivity_by_decision,CLASSIFIED::deny,119
sensitivity_by_decision,CLASSIFIED::escalate,117
sensitivity_by_decision,HIGH::deny,196
sensitivity_by_decision,HIGH::escalate,233
sensitivity_by_decision,LOW::allow,23
sensitivity_by_decision,LOW::deny,32
sensitivity_by_decision,LOW::escalate,23
sensitivity_by_decision,MEDIUM::allow,102
sensitivity_by_decision,MEDIUM::deny,65
sensitivity_by_decision,MEDIUM::escalate,90
