profile_group,value,count
request.scenario_type,court_request,73
request.scenario_type,cross_jurisdiction_sensitive,156
request.scenario_type,emergency_override,91
request.scenario_type,expired_approval_token,58
request.scenario_type,juvenile_sensitive,85
request.scenario_type,normal_in_jurisdiction,205
request.scenario_type,random_context,65
request.scenario_type,revoked_credential,89
request.scenario_type,sealed_record,83
request.scenario_type,stale_case_assignment,95
request.cross_jurisdiction,false,217
request.cross_jurisdiction,true,783
request.approval_token_status,EXPIRED,58
request.approval_token_status,MISSING,413
request.approval_token_status,NOT_REQUIRED,234
request.approval_token_status,PRESENT_VALID,295
request.purpose,AUDIT,49
request.purpose,COURT_PRODUCTION,75
request.purpose,EMERGENCY_RESPONSE,103
request.purpose,FORENSIC_REVIEW,66
request.purpose,INVESTIGATION,487
request.purpose,PROSECUTION_REVIEW,91
request.purpose,SUPERVISION,124
request.purpose,TRAINING,5
request.action,APPROVE,37
request.action,DOWNLOAD,135
request.action,SHARE,45
request.action,UPDATE,50
request.action,VIEW,733
request.record_sensitivity_level,CLASSIFIED,238
request.record_sensitivity_level,HIGH,436
request.record_sensitivity_level,LOW,75
request.record_sensitivity_level,MEDIUM,251
officer.credential_status,ACTIVE,217
officer.credential_status,REVOKED,13
officer.credential_status,SUSPENDED,10
officer.role,Constable,47
officer.role,Cybercrime Officer,17
officer.role,Forensic Officer,15
officer.role,Head Constable,46
officer.role,Inspector,38
officer.role,Prosecutor Liaison,11
officer.role,Senior Superintendent,6
officer.role,Station House Officer,13
officer.role,Sub-Inspector,47
record.record_type,CASE_DIARY,98
record.record_type,COURT_SUBMISSION,90
record.record_type,CYBERCRIME_COMPLAINT,115
record.record_type,EVIDENCE_MEDIA,103
record.record_type,FIR_SUMMARY,102
record.record_type,FORENSIC_REPORT,96
record.record_type,JUVENILE_RECORD,89
record.record_type,VICTIM_RECORD,114
record.record_type,WITNESS_STATEMENT,93
record.sensitivity_level,CLASSIFIED,217
record.sensitivity_level,HIGH,492
record.sensitivity_level,LOW,41
record.sensitivity_level,MEDIUM,150
