summary_group,value,count
decision,allow,111
decision,deny,399
decision,escalate,490
decision_by_scenario,court_request::allow,7
decision_by_scenario,court_request::deny,10
decision_by_scenario,court_request::escalate,56
decision_by_scenario,cross_jurisdiction_sensitive::deny,28
decision_by_scenario,cross_jurisdiction_sensitive::escalate,128
decision_by_scenario,emergency_override::deny,16
decision_by_scenario,emergency_override::escalate,75
decision_by_scenario,expired_approval_token::deny,58
decision_by_scenario,juvenile_sensitive::deny,23
decision_by_scenario,juvenile_sensitive::escalate,62
decision_by_scenario,normal_in_jurisdiction::allow,104
decision_by_scenario,normal_in_jurisdiction::deny,27
decision_by_scenario,normal_in_jurisdiction::escalate,74
decision_by_scenario,random_context::deny,24
decision_by_scenario,random_context::escalate,41
decision_by_scenario,revoked_credential::deny,89
decision_by_scenario,sealed_record::deny,29
decision_by_scenario,sealed_record::escalate,54
decision_by_scenario,stale_case_assignment::deny,95
primary_reason_code,ALLOW_ROUTINE_CONTEXTUAL_ACCESS,111
primary_reason_code,DENY_APPROVAL_ACTION_WITHOUT_SUPERVISOR_RANK,18
primary_reason_code,DENY_CLASSIFIED_SHARE_WITHOUT_VALID_APPROVAL,3
primary_reason_code,DENY_EXPIRED_APPROVAL_TOKEN,58
primary_reason_code,DENY_INACTIVE_CREDENTIAL,103
primary_reason_code,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT,115
primary_reason_code,DENY_SENSITIVE_UPDATE_WITH_LOW_RANK,5
primary_reason_code,DENY_STALE_CASE_ASSIGNMENT,95
primary_reason_code,DENY_TRAINING_PURPOSE_FOR_SENSITIVE_RECORD,2
primary_reason_code,ESCALATE_CONTEXTUAL_REVIEW_REQUIRED,13
primary_reason_code,ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,89
primary_reason_code,ESCALATE_EMERGENCY_REVIEW_REQUIRED,75
primary_reason_code,ESCALATE_NODE_STATUS_DEGRADED,9
primary_reason_code,ESCALATE_PRIVACY_SENSITIVE_RECORD,243
primary_reason_code,ESCALATE_SEALED_RECORD_REVIEW_REQUIRED,61
required_approval,classified_record_approval|cross_jurisdiction_superior_approval,3
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|manual_node_outage_review|sensitive_record_approval,1
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|sealed_record_superior_review|sensitive_record_approval,8
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|sensitive_record_approval,31
required_approval,classified_record_approval|cross_jurisdiction_superior_approval|sensitive_record_approval|superior_emergency_review,7
required_approval,classified_record_approval|sealed_record_superior_review|sensitive_record_approval,1
required_approval,classified_record_approval|sensitive_record_approval,1
required_approval,contextual_superior_review,13
required_approval,cross_jurisdiction_superior_approval,51
required_approval,cross_jurisdiction_superior_approval|manual_node_outage_review,5
required_approval,cross_jurisdiction_superior_approval|manual_node_outage_review|sealed_record_superior_review|sensitive_record_approval,1
required_approval,cross_jurisdiction_superior_approval|manual_node_outage_review|sensitive_record_approval,10
required_approval,cross_jurisdiction_superior_approval|sealed_record_superior_review,8
required_approval,cross_jurisdiction_superior_approval|sealed_record_superior_review|sensitive_record_approval,23
required_approval,cross_jurisdiction_superior_approval|sensitive_record_approval,145
required_approval,cross_jurisdiction_superior_approval|sensitive_record_approval|superior_emergency_review,48
required_approval,cross_jurisdiction_superior_approval|superior_emergency_review,14
required_approval,manual_node_outage_review,9
required_approval,manual_node_outage_review|sensitive_record_approval,3
required_approval,none,510
required_approval,sealed_record_superior_review,12
required_approval,sealed_record_superior_review|sensitive_record_approval,8
required_approval,sensitive_record_approval,82
required_approval,sensitive_record_approval|superior_emergency_review,6
sensitivity_by_decision,CLASSIFIED::deny,125
sensitivity_by_decision,CLASSIFIED::escalate,113
sensitivity_by_decision,HIGH::deny,175
sensitivity_by_decision,HIGH::escalate,261
sensitivity_by_decision,LOW::allow,27
sensitivity_by_decision,LOW::deny,14
sensitivity_by_decision,LOW::escalate,34
sensitivity_by_decision,MEDIUM::allow,84
sensitivity_by_decision,MEDIUM::deny,85
sensitivity_by_decision,MEDIUM::escalate,82
